product_id,product_name,price,og_price,product_link,img_url
E462377-000,Extra Fine Cotton Broadcloth Long Sleeve Shirt,1990.0,2990.0,https://www.uniqlo.com/in/en/products/E462377-000,https://image.uniqlo.com/UQ/ST3/in/imagesgoods/462377/item/ingoods_63_462377.jpg
E462375-000,Extra Fine Cotton Broadcloth Long Sleeve Shirt,1990.0,2990.0,https://www.uniqlo.com/in/en/products/E462375-000,https://image.uniqlo.com/UQ/ST3/in/imagesgoods/462375/item/ingoods_26_462375.jpg
E458354-000,Open Collar Short Sleeve Shirt,1490.0,1990.0,https://www.uniqlo.com/in/en/products/E458354-000,https://image.uniqlo.com/UQ/ST3/in/imagesgoods/458354/item/ingoods_69_458354.jpg
E458353-000,Open Collar Short Sleeve Shirt,1490.0,1990.0,https://www.uniqlo.com/in/en/products/E458353-000,https://image.uniqlo.com/UQ/ST3/in/imagesgoods/458353/item/ingoods_55_458353.jpg
E458352-000,Open Collar Short Sleeve Shirt,1490.0,1990.0,https://www.uniqlo.com/in/en/products/E458352-000,https://image.uniqlo.com/UQ/ST3/in/imagesgoods/458352/item/ingoods_01_458352.jpg
E458066-000,Open Collar Short Sleeve Shirt,1490.0,1990.0,https://www.uniqlo.com/in/en/products/E458066-000,https://image.uniqlo.com/UQ/ST3/in/imagesgoods/458066/item/ingoods_54_458066.jpg
E458065-000,Open Collar Short Sleeve Shirt,1490.0,1990.0,https://www.uniqlo.com/in/en/products/E458065-000,https://image.uniqlo.com/UQ/ST3/in/imagesgoods/458065/item/ingoods_09_458065.jpg
E457775-000,Linen Cotton Short Sleeve Shirt,1490.0,1990.0,https://www.uniqlo.com/in/en/products/E457775-000,https://image.uniqlo.com/UQ/ST3/in/imagesgoods/457775/item/ingoods_13_457775.jpg
E457451-000,Extra Fine Cotton Short Sleeve Shirt,1490.0,1990.0,https://www.uniqlo.com/in/en/products/E457451-000,https://image.uniqlo.com/UQ/ST3/in/imagesgoods/457451/item/ingoods_04_457451.jpg
E457450-000,Extra Fine Cotton Short Sleeve Shirt,1490.0,1990.0,https://www.uniqlo.com/in/en/products/E457450-000,https://image.uniqlo.com/UQ/ST3/in/imagesgoods/457450/item/ingoods_00_457450.jpg
E457449-000,Extra Fine Cotton Short Sleeve Shirt,1490.0,1990.0,https://www.uniqlo.com/in/en/products/E457449-000,https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/457449/item/goods_17_457449.jpg
E457447-000,Extra Fine Cotton Short Sleeve Shirt,1490.0,1990.0,https://www.uniqlo.com/in/en/products/E457447-000,https://image.uniqlo.com/UQ/ST3/in/imagesgoods/457447/item/ingoods_46_457447.jpg
E457446-000,Extra Fine Cotton Short Sleeve Shirt,1490.0,1990.0,https://www.uniqlo.com/in/en/products/E457446-000,https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/457446/item/goods_63_457446.jpg
E457445-000,Extra Fine Cotton Short Sleeve Shirt,1490.0,1990.0,https://www.uniqlo.com/in/en/products/E457445-000,https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/457445/item/goods_55_457445.jpg
E457429-000,Linen Cotton Stand Collar Long Sleeve Shirt,1490.0,2990.0,https://www.uniqlo.com/in/en/products/E457429-000,https://image.uniqlo.com/UQ/ST3/in/imagesgoods/457429/item/ingoods_66_457429.jpg
E455975-000,Stand Collar Short Sleeve Shirt,1490.0,1990.0,https://www.uniqlo.com/in/en/products/E455975-000,https://image.uniqlo.com/UQ/ST3/in/imagesgoods/455975/item/ingoods_00_455975.jpg
E455971-000,Oxford Slim Fit Short Sleeve Shirt,990.0,1990.0,https://www.uniqlo.com/in/en/products/E455971-000,https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/455971/item/goods_01_455971.jpg
E455970-000,Linen Cotton Short Sleeve Shirt,1490.0,1990.0,https://www.uniqlo.com/in/en/products/E455970-000,https://image.uniqlo.com/UQ/ST3/in/imagesgoods/455970/item/ingoods_00_455970.jpg
E455966-000,Linen Cotton Stand Collar Long Sleeve Shirt,1990.0,2990.0,https://www.uniqlo.com/in/en/products/E455966-000,https://image.uniqlo.com/UQ/ST3/in/imagesgoods/455966/item/ingoods_00_455966.jpg
E452816-000,Extra Fine Cotton Short Sleeve Shirt,1490.0,1990.0,https://www.uniqlo.com/in/en/products/E452816-000,https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/452816/item/goods_00_452816.jpg
E451301-000,Flannel Checked Long Sleeve Shirt,1990.0,2490.0,https://www.uniqlo.com/in/en/products/E451301-000,https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/451301/item/goods_48_451301.jpg
E457434-000,Dry Non Iron Jersey Short Sleeve Shirt,1490.0,1990.0,https://www.uniqlo.com/in/en/products/E457434-000,https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/457434/item/goods_67_457434.jpg
E457432-000,Dry Non Iron Jersey Short Sleeve Shirt,1490.0,1990.0,https://www.uniqlo.com/in/en/products/E457432-000,https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/457432/item/goods_66_457432.jpg
E452811-000,Oxford Short Sleeve Shirt,990.0,1990.0,https://www.uniqlo.com/in/en/products/E452811-000,https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/452811/item/goods_01_452811.jpg
E448392-000,Dry Non Iron Jersey Short Sleeve Shirt,1490.0,1990.0,https://www.uniqlo.com/in/en/products/E448392-000,https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/448392/item/goods_00_448392.jpg
E451674-000,HEATTECH Pile Lined Sweat Full-Zip Hoodie,1990.0,2990.0,https://www.uniqlo.com/in/en/products/E451674-000,https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/451674/item/goods_03_451674.jpg
E464493-000,My Hero Academia UT (Short Sleeve Graphic T-Shirt),990.0,1490.0,https://www.uniqlo.com/in/en/products/E464493-000,https://image.uniqlo.com/UQ/ST3/in/imagesgoods/464493/item/ingoods_00_464493.jpg
E464491-000,My Hero Academia UT (Short Sleeve Graphic T-Shirt),990.0,1490.0,https://www.uniqlo.com/in/en/products/E464491-000,https://image.uniqlo.com/UQ/ST3/in/imagesgoods/464491/item/ingoods_00_464491.jpg
E464490-000,My Hero Academia UT (Short Sleeve Graphic T-Shirt),990.0,1490.0,https://www.uniqlo.com/in/en/products/E464490-000,https://image.uniqlo.com/UQ/ST3/in/imagesgoods/464490/item/ingoods_25_464490.jpg
E463104-000,Dragon Ball UT (Short Sleeve Graphic T-Shirt),790.0,1490.0,https://www.uniqlo.com/in/en/products/E463104-000,https://image.uniqlo.com/UQ/ST3/in/imagesgoods/463104/item/ingoods_74_463104.jpg
E463103-000,Dragon Ball UT (Short Sleeve Graphic T-Shirt),790.0,1490.0,https://www.uniqlo.com/in/en/products/E463103-000,https://image.uniqlo.com/UQ/ST3/in/imagesgoods/463103/item/ingoods_00_463103.jpg
E463102-000,Dragon Ball UT (Short Sleeve Graphic T-Shirt),790.0,1490.0,https://www.uniqlo.com/in/en/products/E463102-000,https://image.uniqlo.com/UQ/ST3/in/imagesgoods/463102/item/ingoods_00_463102.jpg
E463101-000,Dragon Ball UT (Short Sleeve Graphic T-Shirt),790.0,1490.0,https://www.uniqlo.com/in/en/products/E463101-000,https://image.uniqlo.com/UQ/ST3/in/imagesgoods/463101/item/ingoods_09_463101.jpg
E463096-000,UTGP 2023:MFA UT (Short Sleeve Graphic T-Shirt),790.0,1490.0,https://www.uniqlo.com/in/en/products/E463096-000,https://image.uniqlo.com/UQ/ST3/in/imagesgoods/463096/item/ingoods_00_463096.jpg
E463095-000,UTGP 2023:MFA UT (Short Sleeve Graphic T-Shirt),790.0,1490.0,https://www.uniqlo.com/in/en/products/E463095-000,https://image.uniqlo.com/UQ/ST3/in/imagesgoods/463095/item/ingoods_09_463095.jpg
E463094-000,UTGP 2023:MFA UT (Short Sleeve Graphic T-Shirt),790.0,1490.0,https://www.uniqlo.com/in/en/products/E463094-000,https://image.uniqlo.com/UQ/ST3/in/imagesgoods/463094/item/ingoods_00_463094.jpg
E463093-000,UTGP 2023:MFA UT (Short Sleeve Graphic T-Shirt),790.0,1490.0,https://www.uniqlo.com/in/en/products/E463093-000,https://image.uniqlo.com/UQ/ST3/in/imagesgoods/463093/item/ingoods_55_463093.jpg
E462903-000,My Hero Academia UT (Short Sleeve Graphic T-Shirt),990.0,1490.0,https://www.uniqlo.com/in/en/products/E462903-000,https://image.uniqlo.com/UQ/ST3/in/imagesgoods/462903/item/ingoods_08_462903.jpg
E462178-000,Detective Conan UT (Short Sleeve Graphic T-Shirt),790.0,1490.0,https://www.uniqlo.com/in/en/products/E462178-000,https://image.uniqlo.com/UQ/ST3/in/imagesgoods/462178/item/ingoods_72_462178.jpg
E462177-000,Detective Conan UT (Short Sleeve Graphic T-Shirt),790.0,1490.0,https://www.uniqlo.com/in/en/products/E462177-000,https://image.uniqlo.com/UQ/ST3/in/imagesgoods/462177/item/ingoods_09_462177.jpg
E462176-000,Detective Conan UT (Short Sleeve Graphic T-Shirt),790.0,1490.0,https://www.uniqlo.com/in/en/products/E462176-000,https://image.uniqlo.com/UQ/ST3/in/imagesgoods/462176/item/ingoods_30_462176.jpg
E462175-000,Detective Conan UT (Short Sleeve Graphic T-Shirt),790.0,1490.0,https://www.uniqlo.com/in/en/products/E462175-000,https://image.uniqlo.com/UQ/ST3/in/imagesgoods/462175/item/ingoods_69_462175.jpg
E462174-000,Detective Conan UT (Short Sleeve Graphic T-Shirt),790.0,1490.0,https://www.uniqlo.com/in/en/products/E462174-000,https://image.uniqlo.com/UQ/ST3/in/imagesgoods/462174/item/ingoods_00_462174.jpg
E462173-000,Detective Conan UT (Short Sleeve Graphic T-Shirt),790.0,1490.0,https://www.uniqlo.com/in/en/products/E462173-000,https://image.uniqlo.com/UQ/ST3/in/imagesgoods/462173/item/ingoods_61_462173.jpg
