product_name,price,og_price,discount_percent,product_color,family,img_url
CHECK TEXTURE SUIT BLAZER,4990.0,9590.0,47,Grey,BLASIER,https://static.zara.net/photos///2023/I/0/2/p/5724/515/802/2/w/1024/5724515802_6_1_1.jpg?ts=1689860634138
MINI CROSSBODY BAG,1590.0,2590.0,38,Sand Brown,BOLSOS,https://static.zara.net/photos///2023/I/1/2/p/3632/120/107/2/w/1024/3632120107_6_1_1.jpg?ts=1689772466848
SOFT DENIM BERMUDA SHORTS,1590.0,2590.0,38,Light blue,BERMUDA,https://static.zara.net/photos///2023/V/0/2/p/1187/444/406/2/w/1024/1187444406_6_1_1.jpg?ts=1679302918871
CRISS-CROSS SANDALS,1890.0,2890.0,34,Bone White,ABIERTO,https://static.zara.net/photos///2023/I/1/2/p/2707/121/120/2/w/1024/2707121120_6_1_1.jpg?ts=1689693871798
TEXTURED SUIT TROUSERS,2290.0,4990.0,54,Mid-green,PANTALON,https://static.zara.net/photos///2023/I/0/1/p/5725/511/527/2/w/1024/5725511527_6_1_1.jpg?ts=1692629550560
SOFT DENIM BERMUDA SHORTS,1590.0,2590.0,38,Blue,BERMUDA,https://static.zara.net/photos///2023/V/0/2/p/1187/444/407/2/w/1024/1187444407_6_1_1.jpg?ts=1679299869278
EMBOSSED BOWLING BAG,2990.0,4590.0,34,Black,BOLSOS,https://static.zara.net/photos///2023/V/1/2/p/3127/120/800/2/w/1024/3127120800_6_1_1.jpg?ts=1681905905521
KNOTTED SANDALS,1890.0,2990.0,36,Blue,ABIERTO,https://static.zara.net/photos///2023/I/1/2/p/2712/220/400/2/w/1024/2712220400_6_1_1.jpg?ts=1689693943397
SANDALS WITH CORDS,2590.0,3990.0,35,Multicoloured,ABIERTO,https://static.zara.net/photos///2023/I/1/2/p/2713/120/203/2/w/1024/2713120203_6_1_1.jpg?ts=1687961981628
TEXTURED SUIT BLAZER,4990.0,9590.0,47,Sky blue,BLASIER,https://static.zara.net/photos///2023/I/0/2/p/4584/898/403/2/w/1024/4584898403_6_1_1.jpg?ts=1689590981982
TEXTURED SUIT BLAZER,4990.0,9590.0,47,Navy blue,BLASIER,https://static.zara.net/photos///2023/I/0/1/p/0706/360/401/2/w/1024/0706360401_6_1_1.jpg?ts=1689923598784
TEXTURED SUIT BLAZER,4990.0,9590.0,47,Grey,BLASIER,https://static.zara.net/photos///2023/I/0/2/p/5724/510/802/2/w/1024/5724510802_6_1_1.jpg?ts=1689854409330
SUIT TROUSERS,2290.0,4990.0,54,Blue / Steel,PANTALON,https://static.zara.net/photos///2023/I/0/2/p/5735/524/431/2/w/1024/5735524431_6_1_1.jpg?ts=1691410533642
TECHNICAL BOMBER JACKET,3990.0,5990.0,33,Black,CAZADORA,https://static.zara.net/photos///2023/I/0/1/p/8281/324/800/2/w/1024/8281324800_6_1_1.jpg?ts=1688654815561
ABSTRACT PRINT SHIRT,1890.0,3290.0,42,Green,CAMISA,https://static.zara.net/photos///2023/I/0/2/p/6085/308/500/2/w/1024/6085308500_6_1_1.jpg?ts=1687866113686
COTTON-LINEN BERMUDA SHORTS,1890.0,3290.0,42,Black,BERMUDA,https://static.zara.net/photos///2023/I/0/2/p/4365/300/800/2/w/1024/4365300800_6_1_1.jpg?ts=1688637665975
CREASED-EFFECT BERMUDA SHORTS,1590.0,2590.0,38,Beige,BERMUDA,https://static.zara.net/photos///2023/I/0/2/p/6318/343/710/2/w/1024/6318343710_6_1_1.jpg?ts=1689087335695
SEERSUCKER SWIMMING TRUNKS,1590.0,2590.0,38,Dark fuchsia,BAÑO,https://static.zara.net/photos///2023/I/0/2/p/8574/373/690/2/w/1024/8574373690_6_1_1.jpg?ts=1689162981156
STRIPED TECHNICAL SWIMMING TRUNKS,1590.0,2990.0,46,Khaki,BAÑO,https://static.zara.net/photos///2023/I/0/2/p/8574/383/505/2/w/1024/8574383505_6_1_1.jpg?ts=1688711737390
SHIRT WITH ADJUSTABLE HEM,2290.0,3990.0,42,Black,CAMISA,https://static.zara.net/photos///2023/I/0/2/p/2553/306/800/2/w/1024/2553306800_6_1_1.jpg?ts=1691057105099
COTTON CARGO BERMUDA SHORTS,1890.0,3290.0,42,Oyster White,BERMUDA,https://static.zara.net/photos///2023/I/0/2/p/2553/302/251/2/w/1024/2553302251_6_1_1.jpg?ts=1689851977419
COTTON-LINEN BERMUDA SHORTS,1890.0,3290.0,42,Oyster White,BERMUDA,https://static.zara.net/photos///2023/I/0/2/p/4365/300/251/2/w/1024/4365300251_6_1_1.jpg?ts=1688637665902
BRAIDED SANDALS,1890.0,2890.0,34,,ABIERTO,https://static.zara.net/photos///2023/I/1/2/p/2727/220/709/2/w/1024/2727220709_6_1_1.jpg?ts=1689695091611
CREASED-EFFECT BERMUDA SHORTS,1590.0,2590.0,38,Black,BERMUDA,https://static.zara.net/photos///2023/I/0/2/p/6318/343/800/2/w/1024/6318343800_6_1_1.jpg?ts=1689087329350
TECHNICAL CARGO BERMUDA SHORTS,1590.0,2990.0,46,Stone,BERMUDA,https://static.zara.net/photos///2023/I/0/2/p/1538/440/806/2/w/1024/1538440806_6_1_1.jpg?ts=1687874844681
SHIRT WITH ADJUSTABLE HEM,2290.0,3990.0,42,Oyster White,CAMISA,https://static.zara.net/photos///2023/I/0/2/p/2553/306/251/2/w/1024/2553306251_6_1_1.jpg?ts=1691057105088
COTTON CARGO BERMUDA SHORTS,1890.0,3290.0,42,camel,BERMUDA,https://static.zara.net/photos///2023/I/0/2/p/2553/302/707/2/w/1024/2553302707_6_1_1.jpg?ts=1689851978059
COTTON CARGO BERMUDA SHORTS,1890.0,3290.0,42,Black,BERMUDA,https://static.zara.net/photos///2023/I/0/2/p/2553/302/800/2/w/1024/2553302800_6_1_1.jpg?ts=1689851976661
TECHNICAL BOMBER JACKET,3990.0,5990.0,33,Orange,CAZADORA,https://static.zara.net/photos///2023/I/0/2/p/8281/324/615/2/w/1024/8281324615_6_1_1.jpg?ts=1688641818985
CHECKED SUIT BLAZER,4990.0,9590.0,47,Bluish,BLASIER,https://static.zara.net/photos///2023/I/0/2/p/5734/502/420/2/w/1024/5734502420_6_1_1.jpg?ts=1689860582805
RUBBERISED NYLON BACKPACK,2990.0,4990.0,40,Sand Brown,BOLSOS,https://static.zara.net/photos///2023/V/1/2/p/3224/120/107/2/w/1024/3224120107_6_1_1.jpg?ts=1683124345183
STRIPED COTTON - LINEN SHIRT,1890.0,3290.0,42,Beige,CAMISA,https://static.zara.net/photos///2023/I/0/2/p/2688/305/710/2/w/1024/2688305710_6_1_1.jpg?ts=1688393020179
TEXTURED SUIT BLAZER,4990.0,9590.0,47,Light tan,BLASIER,https://static.zara.net/photos///2023/I/0/2/p/1564/350/708/2/w/1024/1564350708_6_1_1.jpg?ts=1689854408483
LONG SWIMMING TRUNKS,1590.0,2590.0,38,Purple,BAÑO,https://static.zara.net/photos///2023/I/0/2/p/8574/384/611/2/w/1024/8574384611_6_1_1.jpg?ts=1688711735024
TECHNICAL CARGO BERMUDA SHORTS,1590.0,2990.0,46,Sky blue,BERMUDA,https://static.zara.net/photos///2023/I/0/2/p/1538/440/403/2/w/1024/1538440403_6_1_1.jpg?ts=1687874844616
ABSTRACT PRINT SHIRT,1890.0,3290.0,42,Blue,CAMISA,https://static.zara.net/photos///2023/I/0/2/p/5642/410/400/2/w/1024/5642410400_6_1_1.jpg?ts=1688110917966
SUIT BLAZER,4990.0,9590.0,47,Blue / Steel,BLASIER,https://static.zara.net/photos///2023/I/0/2/p/5734/524/431/2/w/1024/5734524431_6_1_1.jpg?ts=1689753314097
TECHNICAL SLIDERS,1890.0,2990.0,36,Black,ABIERTO,https://static.zara.net/photos///2023/I/1/2/p/2701/220/800/2/w/1024/2701220800_6_1_1.jpg?ts=1689693643279
TEXTURED SUIT TROUSERS,2290.0,4990.0,54,Sky blue,PANTALON,https://static.zara.net/photos///2023/I/0/2/p/4585/898/403/2/w/1024/4585898403_6_1_1.jpg?ts=1689590614450
LONG TIE-DYE SWIMMING TRUNKS,1590.0,2590.0,38,Yellow,BAÑO,https://static.zara.net/photos///2023/I/0/1/p/8574/369/300/2/w/1024/8574369300_6_1_1.jpg?ts=1689169420465
SLIM FIT SUIT TROUSERS,2290.0,4990.0,54,Light tan,PANTALON,https://static.zara.net/photos///2023/I/0/2/p/1564/351/708/2/w/1024/1564351708_6_1_1.jpg?ts=1689860606438
STRIPED COTTON - LINEN SHIRT,1890.0,3290.0,42,Blue,CAMISA,https://static.zara.net/photos///2023/I/0/2/p/2688/305/400/2/w/1024/2688305400_6_1_1.jpg?ts=1688393020527
CHECK TEXTURE SUIT TROUSERS,2290.0,4990.0,54,Grey,PANTALON,https://static.zara.net/photos///2023/I/0/2/p/5725/515/802/2/w/1024/5725515802_6_1_1.jpg?ts=1689860606753
TEXTURED SUIT TROUSERS,2290.0,4990.0,54,Grey,PANTALON,https://static.zara.net/photos///2023/I/0/2/p/5725/510/802/2/w/1024/5725510802_6_1_1.jpg?ts=1689860606173
PIXELATED PRINTED SHIRT,1890.0,3290.0,42,Light green,CAMISA,https://static.zara.net/photos///2023/I/0/2/p/7545/389/526/2/w/1024/7545389526_6_1_1.jpg?ts=1688638514597
LINEN - COTTON BLEND SHIRT,1890.0,3290.0,42,Oyster White,CAMISA,https://static.zara.net/photos///2023/I/0/2/p/4365/302/251/2/w/1024/4365302251_6_1_1.jpg?ts=1688637666143
CREASED-EFFECT BERMUDA SHORTS,1590.0,2590.0,38,Khaki,BERMUDA,https://static.zara.net/photos///2023/I/0/2/p/6103/330/505/2/w/1024/6103330505_6_1_1.jpg?ts=1689087336022
SOFT DENIM BERMUDA SHORTS,1590.0,2590.0,38,Black,BERMUDA,https://static.zara.net/photos///2023/V/0/2/p/1187/444/800/2/w/1024/1187444800_6_1_1.jpg?ts=1679299869178
CREASED-EFFECT BERMUDA SHORTS,1590.0,2590.0,38,White,BERMUDA,https://static.zara.net/photos///2023/I/0/2/p/6103/310/250/2/w/1024/6103310250_6_1_1.jpg?ts=1689087325137
SUIT BLAZER,4990.0,9590.0,47,Mid-green,BLASIER,https://static.zara.net/photos///2023/I/0/1/p/5724/511/527/2/w/1024/5724511527_6_1_1.jpg?ts=1692629441473
BANDANA PRINT SHIRT,1890.0,3290.0,42,Green,CAMISA,https://static.zara.net/photos///2023/I/0/2/p/8574/365/500/2/w/1024/8574365500_6_1_1.jpg?ts=1688556253205
STRIPED SHIRT,1890.0,3290.0,42,Light blue,CAMISA,https://static.zara.net/photos///2023/I/0/2/p/0975/350/406/2/w/1024/0975350406_6_1_1.jpg?ts=1688110916804
STRIPED SHIRT,1890.0,3290.0,42,Pastel pink,CAMISA,https://static.zara.net/photos///2023/I/0/2/p/0975/350/621/2/w/1024/0975350621_6_1_1.jpg?ts=1688110919753
TECHNICAL CARGO BERMUDA SHORTS,1590.0,2990.0,46,Khaki,BERMUDA,https://static.zara.net/photos///2023/I/0/2/p/1538/440/505/2/w/1024/1538440505_6_1_1.jpg?ts=1687874845382
KNOTTED SANDALS,1890.0,2990.0,36,Ecru White,ABIERTO,https://static.zara.net/photos///2023/I/1/2/p/2712/220/002/2/w/1024/2712220002_6_1_1.jpg?ts=1689693943495
