product_name,price,og_price,product_link,img_url
Regular Fit Joggers,2159.0,2699.0,https://www2.hm.com/en_in/productpage.1120855006.html,"https://lp2.hm.com/hmgoepprod?set=source[/02/87/02876595c192e0cb8c5ca0b562e427d98b12f9ab.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Cotton twill boiler suit,7499.0,9999.0,https://www2.hm.com/en_in/productpage.1061149001.html,"https://lp2.hm.com/hmgoepprod?set=source[/b1/54/b15467a564e924271c11c6d514a8f45681470099.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
Oversized Fit hoodie,1959.0,2299.0,https://www2.hm.com/en_in/productpage.1099512005.html,"https://lp2.hm.com/hmgoepprod?set=source[/dd/62/dd62c6787159fcfd4dd132f36b4a0ed0d0cfff64.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Oversized Fit Cotton hoodie,2159.0,2699.0,https://www2.hm.com/en_in/productpage.1035203017.html,"https://lp2.hm.com/hmgoepprod?set=source[/3f/e3/3fe309f24748dc02ec4deed4537a07e8d5314f66.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Regular Fit Terry shorts,1279.0,1499.0,https://www2.hm.com/en_in/productpage.1147167002.html,"https://lp2.hm.com/hmgoepprod?set=source[/36/e7/36e7df2ba7ecb47b30ebc09325fee029e98851ae.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
3-pack rings,639.0,799.0,https://www2.hm.com/en_in/productpage.1171491003.html,"https://lp2.hm.com/hmgoepprod?set=source[/53/be/53be88e2a51265f29934b2542aee8bab16e791a7.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Oversized Fit Cotton sweatshirt,1839.0,2299.0,https://www2.hm.com/en_in/productpage.1035204011.html,"https://lp2.hm.com/hmgoepprod?set=source[/80/68/80686e921ba4a29fa78f1038a4be138ef2e65695.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[3]&call=url[file:/product/style]"
Lightweight running jacket,3199.0,3999.0,https://www2.hm.com/en_in/productpage.1090879001.html,"https://lp2.hm.com/hmgoepprod?set=source[/88/ac/88ac0a2ebe8727f997b65728f19a7ebe70a52904.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
Relaxed Fit Linen-blend shirt,1399.0,1999.0,https://www2.hm.com/en_in/productpage.1037470001.html,"https://lp2.hm.com/hmgoepprod?set=source[/ac/ef/acefca7e6b66d4a579986f3017380dc9b4343152.jpg],origin[dam],category[men_shirts_linenshirts],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
Slim Fit Cotton polo shirt,1109.0,1299.0,https://www2.hm.com/en_in/productpage.1130226003.html,"https://lp2.hm.com/hmgoepprod?set=source[/4a/bb/4abb0a5152b7f18d76d671d48a057fb2032b75db.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Oversized cotton T-shirt,1109.0,1299.0,https://www2.hm.com/en_in/productpage.0969144013.html,"https://lp2.hm.com/hmgoepprod?set=source[/ae/52/ae52eeb294bfc660da53a0ec830ad91efeccd7d1.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
Merino wool joggers,3599.0,4499.0,https://www2.hm.com/en_in/productpage.0937669007.html,"https://lp2.hm.com/hmgoepprod?set=source[/cf/0c/cf0c6ccb05eb1a787479f53dde452c83e6287cfc.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Leather slides,1839.0,2299.0,https://www2.hm.com/en_in/productpage.1065082002.html,"https://lp2.hm.com/hmgoepprod?set=source[/e6/80/e68091a11dd339334a1f24d10052f9779c8b23fd.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
Slim Jeans,1839.0,2299.0,https://www2.hm.com/en_in/productpage.1024711016.html,"https://lp2.hm.com/hmgoepprod?set=source[/2b/a9/2ba944c5071e6532f7efa305d4c2793e8a356d9c.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Loose Fit Linen-blend trousers,2159.0,2699.0,https://www2.hm.com/en_in/productpage.1129539003.html,"https://lp2.hm.com/hmgoepprod?set=source[/61/9e/619e05b0d556cd931726510f40630309aeef0077.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Regular Fit Wool-blend jumper,2399.0,2999.0,https://www2.hm.com/en_in/productpage.1085526005.html,"https://lp2.hm.com/hmgoepprod?set=source[/e6/01/e601f0ba7d8b31cbc5a41839207eddb2f4df950e.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Hooded overshirt,2399.0,2999.0,https://www2.hm.com/en_in/productpage.1111260001.html,"https://lp2.hm.com/hmgoepprod?set=source[/66/9a/669a866814011eaa25004f438ce57357ff6dc01d.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Oversized Fit Cotton sweatshirt,1839.0,2299.0,https://www2.hm.com/en_in/productpage.1035204018.html,"https://lp2.hm.com/hmgoepprod?set=source[/ba/aa/baaa535cb8169e9f57b6ae7a364e82c3bb853347.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
